settlement_id,payment_id,discrepancy_reason,discrepancy_amount,is_true_discrepancy
SET0010,PAY00109,NO_ISSUE_FAILED_PAYMENT_EXCLUDED,0.0,False
SET0010,PAY00110,NO_ISSUE_FAILED_PAYMENT_EXCLUDED,0.0,False
SET0010,PAY00111,REFUND_MISMATCH_FULL,9941.0,True
SET0010,PAY00112,DELAYED_SETTLEMENT,9941.0,True
SET0010,PAY00113,CLEAN,0.0,False
SET0010,PAY00114,CLEAN,0.0,False
SET0010,PAY00115,DELAYED_SETTLEMENT,982.3,True
SET0010,PAY00116,DELAYED_SETTLEMENT,1964.6,True
SET0010,PAY00117,CLEAN,0.0,False
SET0010,PAY00118,CLEAN,0.0,False
SET0010,PAY00119,NO_ISSUE_REFUND_DELAYED,0.0,False
SET0010,PAY00120,REFUND_MISMATCH_PARTIAL,300.0,True
