payment_id,order_id,customer_id,amount,currency,payment_method,gateway,status,payment_date,settlement_id
PAY00053,ORD00053,CUST00013,500,INR,CARD,Razorpay,SUCCESS,2026-08-05,SET0005
PAY00054,ORD00054,CUST00012,1500,INR,UPI,Razorpay,SUCCESS,2026-08-05,SET0005
PAY00055,ORD00055,CUST00052,500,INR,UPI,Razorpay,SUCCESS,2026-08-05,SET0005
PAY00056,ORD00056,CUST00050,2000,INR,WALLET,Razorpay,SUCCESS,2026-08-05,SET0005
PAY00057,ORD00057,CUST00037,5000,INR,CARD,Razorpay,SUCCESS,2026-08-05,SET0005
PAY00058,ORD00058,CUST00063,1000,INR,UPI,Razorpay,FAILED,2026-08-05,SET0005
PAY00059,ORD00059,CUST00008,15000,INR,UPI,Razorpay,SUCCESS,2026-08-05,SET0005
PAY00060,ORD00060,CUST00062,15000,INR,WALLET,Razorpay,SUCCESS,2026-08-05,SET0005
PAY00061,ORD00061,CUST00066,750,INR,WALLET,Razorpay,SUCCESS,2026-08-06,SET0006
PAY00062,ORD00062,CUST00009,1500,INR,CARD,Razorpay,SUCCESS,2026-08-06,SET0006
PAY00063,ORD00063,CUST00032,500,INR,CARD,Razorpay,SUCCESS,2026-08-06,SET0006
PAY00064,ORD00064,CUST00034,1500,INR,CARD,Razorpay,SUCCESS,2026-08-06,SET0006
PAY00065,ORD00065,CUST00051,1000,INR,CARD,Razorpay,SUCCESS,2026-08-06,SET0006
PAY00066,ORD00066,CUST00041,750,INR,UPI,Razorpay,SUCCESS,2026-08-06,SET0006
PAY00067,ORD00067,CUST00013,750,INR,CARD,Razorpay,SUCCESS,2026-08-06,SET0006
PAY00068,ORD00068,CUST00045,750,INR,WALLET,Razorpay,SUCCESS,2026-08-06,SET0006
PAY00069,ORD00069,CUST00057,15000,INR,NETBANKING,Razorpay,SUCCESS,2026-08-06,SET0006
PAY00070,ORD00070,CUST00068,500,INR,CARD,Razorpay,SUCCESS,2026-08-06,SET0006
PAY00071,ORD00071,CUST00014,1000,INR,UPI,Razorpay,SUCCESS,2026-08-06,SET0006
PAY00072,ORD00072,CUST00071,1000,INR,UPI,Razorpay,SUCCESS,2026-08-06,SET0006
PAY00073,ORD00073,CUST00044,1500,INR,CARD,Razorpay,SUCCESS,2026-08-07,SET0007
PAY00074,ORD00074,CUST00065,10000,INR,UPI,Razorpay,SUCCESS,2026-08-07,SET0007
PAY00075,ORD00075,CUST00007,750,INR,CARD,Razorpay,SUCCESS,2026-08-07,SET0007
PAY00076,ORD00076,CUST00006,500,INR,UPI,Razorpay,FAILED,2026-08-07,SET0007
PAY00077,ORD00077,CUST00034,1000,INR,NETBANKING,Razorpay,SUCCESS,2026-08-07,SET0007
PAY00078,ORD00078,CUST00072,500,INR,UPI,Razorpay,SUCCESS,2026-08-07,SET0007
PAY00079,ORD00079,CUST00020,15000,INR,UPI,Razorpay,SUCCESS,2026-08-07,SET0007
PAY00080,ORD00080,CUST00019,5000,INR,UPI,Razorpay,SUCCESS,2026-08-07,SET0007
PAY00081,ORD00081,CUST00046,1500,INR,CARD,Razorpay,SUCCESS,2026-08-07,SET0007
PAY00082,ORD00082,CUST00046,15000,INR,WALLET,Razorpay,SUCCESS,2026-08-07,SET0007
PAY00083,ORD00083,CUST00031,1000,USD,INTERNATIONAL,Razorpay,SUCCESS,2026-08-07,SET0007
PAY00084,ORD00084,CUST00053,500,INR,UPI,Razorpay,SUCCESS,2026-08-07,SET0007
PAY00085,ORD00085,CUST00053,1500,INR,UPI,Razorpay,SUCCESS,2026-08-08,SET0008
PAY00086,ORD00086,CUST00014,5000,INR,WALLET,Razorpay,SUCCESS,2026-08-08,SET0008
PAY00087,ORD00087,CUST00029,1500,INR,NETBANKING,Razorpay,SUCCESS,2026-08-08,SET0008
PAY00088,ORD00088,CUST00030,1500,INR,UPI,Razorpay,FAILED,2026-08-08,SET0008
PAY00089,ORD00089,CUST00043,2000,INR,WALLET,Razorpay,SUCCESS,2026-08-08,SET0008
PAY00090,ORD00090,CUST00036,2500,INR,CARD,Razorpay,SUCCESS,2026-08-08,SET0008
PAY00091,ORD00091,CUST00004,750,INR,WALLET,Razorpay,SUCCESS,2026-08-08,SET0008
PAY00092,ORD00092,CUST00075,2000,INR,UPI,Razorpay,SUCCESS,2026-08-08,SET0008
PAY00093,ORD00093,CUST00041,5000,INR,CARD,Razorpay,SUCCESS,2026-08-08,SET0008
PAY00094,ORD00094,CUST00074,1500,INR,UPI,Razorpay,SUCCESS,2026-08-08,SET0008
PAY00095,ORD00095,CUST00001,15000,INR,WALLET,Razorpay,SUCCESS,2026-08-08,SET0008
PAY00096,ORD00096,CUST00026,2500,INR,CARD,Razorpay,SUCCESS,2026-08-08,SET0008
PAY00097,ORD00097,CUST00043,2500,INR,CARD,Razorpay,FAILED,2026-08-09,SET0009
PAY00098,ORD00098,CUST00039,15000,INR,UPI,Razorpay,SUCCESS,2026-08-09,SET0009
PAY00099,ORD00099,CUST00038,15000,INR,UPI,Razorpay,SUCCESS,2026-08-09,SET0009
PAY00100,ORD00100,CUST00023,2000,INR,CARD,Razorpay,SUCCESS,2026-08-09,SET0009
PAY00101,ORD00101,CUST00039,2000,INR,UPI,Razorpay,SUCCESS,2026-08-09,SET0009
PAY00102,ORD00102,CUST00078,2500,INR,CARD,Razorpay,SUCCESS,2026-08-09,SET0009
PAY00103,ORD00103,CUST00066,10000,INR,NETBANKING,Razorpay,SUCCESS,2026-08-09,SET0009
PAY00104,ORD00104,CUST00022,750,INR,UPI,Razorpay,SUCCESS,2026-08-09,SET0009
PAY00105,ORD00105,CUST00080,2500,INR,UPI,Razorpay,SUCCESS,2026-08-09,SET0009
PAY00106,ORD00106,CUST00031,2000,INR,UPI,Razorpay,FAILED,2026-08-09,SET0009
PAY00107,ORD00107,CUST00004,500,INR,UPI,Razorpay,SUCCESS,2026-08-09,SET0009
PAY00108,ORD00108,CUST00059,5000,INR,WALLET,Razorpay,SUCCESS,2026-08-09,SET0009
PAY00109,ORD00109,CUST00050,10000,INR,UPI,Razorpay,FAILED,2026-08-10,SET0010
PAY00110,ORD00110,CUST00001,750,INR,NETBANKING,Razorpay,FAILED,2026-08-10,SET0010
PAY00111,ORD00111,CUST00067,10000,INR,UPI,Razorpay,SUCCESS,2026-08-10,SET0010
PAY00112,ORD00112,CUST00016,10000,INR,UPI,Razorpay,SUCCESS,2026-08-10,SET0010
PAY00113,ORD00113,CUST00072,2500,USD,INTERNATIONAL,Razorpay,SUCCESS,2026-08-10,SET0010
PAY00114,ORD00114,CUST00079,15000,INR,CARD,Razorpay,SUCCESS,2026-08-10,SET0010
PAY00115,ORD00115,CUST00058,1000,INR,NETBANKING,Razorpay,SUCCESS,2026-08-10,SET0010
PAY00116,ORD00116,CUST00032,2000,INR,NETBANKING,Razorpay,SUCCESS,2026-08-10,SET0010
PAY00117,ORD00117,CUST00031,2000,INR,CARD,Razorpay,SUCCESS,2026-08-10,SET0010
PAY00118,ORD00118,CUST00031,2000,INR,UPI,Razorpay,SUCCESS,2026-08-10,SET0010
PAY00119,ORD00119,CUST00011,1000,INR,UPI,Razorpay,SUCCESS,2026-08-10,SET0010
PAY00120,ORD00120,CUST00028,750,INR,CARD,Razorpay,SUCCESS,2026-08-10,SET0010
